CRNumber,CRLength,HNumber,HLength,NHE,MortSlope,EradTime
1,1,500,12,0.05,2.069988e-06,1200
1,1,500,12,0.05,2.414986e-06,1200
1,1,500,12,0.05,2.759984e-06,1200
1,1,500,12,0.05,3.104982e-06,1200
1,1,500,12,0.05,3.44998e-06,1200
1,1,500,12,0.1,0,1200
1,1,500,12,0.1,3.44998e-07,1200
1,1,500,12,0.1,6.89996e-07,1200
1,1,500,12,0.1,1.034994e-06,1200
1,1,500,12,0.1,1.379992e-06,1200
1,1,500,12,0.1,1.72499e-06,1200
1,1,500,12,0.1,2.069988e-06,1200
1,1,500,12,0.1,2.414986e-06,1200
1,1,500,12,0.1,2.759984e-06,1200
1,1,500,12,0.1,3.104982e-06,1200
1,1,500,12,0.1,3.44998e-06,1200
1,1,500,12,0.15,0,1200
1,1,500,12,0.15,3.44998e-07,1200
1,1,500,12,0.15,6.89996e-07,1200
1,1,500,12,0.15,1.034994e-06,1200
1,1,500,12,0.15,1.379992e-06,1200
1,1,500,12,0.15,1.72499e-06,1200
1,1,500,12,0.15,2.069988e-06,1200
1,1,500,12,0.15,2.414986e-06,1200
1,1,500,12,0.15,2.759984e-06,1200
1,1,500,12,0.15,3.104982e-06,1200
1,1,500,12,0.15,3.44998e-06,1200
1,1,500,12,0.2,0,1200
1,1,500,12,0.2,3.44998e-07,1200
1,1,500,12,0.2,6.89996e-07,1200
1,1,500,12,0.2,1.034994e-06,1200
1,1,500,12,0.2,1.379992e-06,1200
1,1,500,12,0.2,1.72499e-06,1200
1,1,500,12,0.2,2.069988e-06,1200
1,1,500,12,0.2,2.414986e-06,1200
1,1,500,12,0.2,2.759984e-06,1200
1,1,500,12,0.2,3.104982e-06,1200
1,1,500,12,0.2,3.44998e-06,1200
1,1,500,60,0,0,1200
1,1,500,60,0,3.44998e-07,882
1,1,500,60,0,6.89996e-07,871
1,1,500,60,0,1.034994e-06,865
1,1,500,60,0,1.379992e-06,860
1,1,500,60,0,1.72499e-06,856
1,1,500,60,0,2.069988e-06,853
1,1,500,60,0,2.414986e-06,850
1,1,500,60,0,2.759984e-06,848
1,1,500,60,0,3.104982e-06,845
1,1,500,60,0,3.44998e-06,843
1,1,500,60,0.001,0,1200
1,1,500,60,0.001,3.44998e-07,925
1,1,500,60,0.001,6.89996e-07,911
1,1,500,60,0.001,1.034994e-06,903
1,1,500,60,0.001,1.379992e-06,897
1,1,500,60,0.001,1.72499e-06,892
1,1,500,60,0.001,2.069988e-06,888
1,1,500,60,0.001,2.414986e-06,885
1,1,500,60,0.001,2.759984e-06,882
1,1,500,60,0.001,3.104982e-06,879
1,1,500,60,0.001,3.44998e-06,876
1,1,500,60,0.005,0,1200
1,1,500,60,0.005,3.44998e-07,1129
1,1,500,60,0.005,6.89996e-07,1102
1,1,500,60,0.005,1.034994e-06,1086
1,1,500,60,0.005,1.379992e-06,1075
1,1,500,60,0.005,1.72499e-06,1066
1,1,500,60,0.005,2.069988e-06,1058
1,1,500,60,0.005,2.414986e-06,1052
1,1,500,60,0.005,2.759984e-06,1046
1,1,500,60,0.005,3.104982e-06,1041
1,1,500,60,0.005,3.44998e-06,1037
1,1,500,60,0.01,0,1200
1,1,500,60,0.01,3.44998e-07,1200
1,1,500,60,0.01,6.89996e-07,1200
1,1,500,60,0.01,1.034994e-06,1200
1,1,500,60,0.01,1.379992e-06,1200
1,1,500,60,0.01,1.72499e-06,1200
1,1,500,60,0.01,2.069988e-06,1200
1,1,500,60,0.01,2.414986e-06,1200
1,1,500,60,0.01,2.759984e-06,1200
1,1,500,60,0.01,3.104982e-06,1200
1,1,500,60,0.01,3.44998e-06,1200
1,1,500,60,0.05,0,1200
1,1,500,60,0.05,3.44998e-07,1200
1,1,500,60,0.05,6.89996e-07,1200
1,1,500,60,0.05,1.034994e-06,1200
1,1,500,60,0.05,1.379992e-06,1200
1,1,500,60,0.05,1.72499e-06,1200
1,1,500,60,0.05,2.069988e-06,1200
1,1,500,60,0.05,2.414986e-06,1200
1,1,500,60,0.05,2.759984e-06,1200
1,1,500,60,0.05,3.104982e-06,1200
1,1,500,60,0.05,3.44998e-06,1200
1,1,500,60,0.1,0,1200
1,1,500,60,0.1,3.44998e-07,1200
1,1,500,60,0.1,6.89996e-07,1200
1,1,500,60,0.1,1.034994e-06,1200
1,1,500,60,0.1,1.379992e-06,1200
1,1,500,60,0.1,1.72499e-06,1200
1,1,500,60,0.1,2.069988e-06,1200
1,1,500,60,0.1,2.414986e-06,1200
1,1,500,60,0.1,2.759984e-06,1200
1,1,500,60,0.1,3.104982e-06,1200
1,1,500,60,0.1,3.44998e-06,1200
1,1,500,60,0.15,0,1200
1,1,500,60,0.15,3.44998e-07,1200
1,1,500,60,0.15,6.89996e-07,1200
1,1,500,60,0.15,1.034994e-06,1200
1,1,500,60,0.15,1.379992e-06,1200
1,1,500,60,0.15,1.72499e-06,1200
1,1,500,60,0.15,2.069988e-06,1200
1,1,500,60,0.15,2.414986e-06,1200
1,1,500,60,0.15,2.759984e-06,1200
1,1,500,60,0.15,3.104982e-06,1200
1,1,500,60,0.15,3.44998e-06,1200
1,1,500,60,0.2,0,1200
1,1,500,60,0.2,3.44998e-07,1200
1,1,500,60,0.2,6.89996e-07,1200
1,1,500,60,0.2,1.034994e-06,1200
1,1,500,60,0.2,1.379992e-06,1200
1,1,500,60,0.2,1.72499e-06,1200
1,1,500,60,0.2,2.069988e-06,1200
1,1,500,60,0.2,2.414986e-06,1200
1,1,500,60,0.2,2.759984e-06,1200
1,1,500,60,0.2,3.104982e-06,1200
1,1,500,60,0.2,3.44998e-06,1200
1,1,500,120,0,0,1200
1,1,500,120,0,3.44998e-07,881
1,1,500,120,0,6.89996e-07,871
1,1,500,120,0,1.034994e-06,864
1,1,500,120,0,1.379992e-06,859
1,1,500,120,0,1.72499e-06,855
1,1,500,120,0,2.069988e-06,852
1,1,500,120,0,2.414986e-06,849
1,1,500,120,0,2.759984e-06,846
1,1,500,120,0,3.104982e-06,844
1,1,500,120,0,3.44998e-06,841
1,1,500,120,0.001,0,1200
1,1,500,120,0.001,3.44998e-07,925
1,1,500,120,0.001,6.89996e-07,911
1,1,500,120,0.001,1.034994e-06,903
1,1,500,120,0.001,1.379992e-06,896
1,1,500,120,0.001,1.72499e-06,891
1,1,500,120,0.001,2.069988e-06,887
1,1,500,120,0.001,2.414986e-06,883
1,1,500,120,0.001,2.759984e-06,880
1,1,500,120,0.001,3.104982e-06,877
1,1,500,120,0.001,3.44998e-06,874
1,1,500,120,0.005,0,1200
1,1,500,120,0.005,3.44998e-07,1128
1,1,500,120,0.005,6.89996e-07,1102
1,1,500,120,0.005,1.034994e-06,1086
1,1,500,120,0.005,1.379992e-06,1074
1,1,500,120,0.005,1.72499e-06,1065
1,1,500,120,0.005,2.069988e-06,1057
1,1,500,120,0.005,2.414986e-06,1051
1,1,500,120,0.005,2.759984e-06,1045
1,1,500,120,0.005,3.104982e-06,1040
1,1,500,120,0.005,3.44998e-06,1035
1,1,500,120,0.01,0,1200
1,1,500,120,0.01,3.44998e-07,1200
1,1,500,120,0.01,6.89996e-07,1200
1,1,500,120,0.01,1.034994e-06,1200
1,1,500,120,0.01,1.379992e-06,1200
1,1,500,120,0.01,1.72499e-06,1200
1,1,500,120,0.01,2.069988e-06,1200
1,1,500,120,0.01,2.414986e-06,1200
1,1,500,120,0.01,2.759984e-06,1200
1,1,500,120,0.01,3.104982e-06,1200
1,1,500,120,0.01,3.44998e-06,1200
1,1,500,120,0.05,0,1200
1,1,500,120,0.05,3.44998e-07,1200
1,1,500,120,0.05,6.89996e-07,1200
1,1,500,120,0.05,1.034994e-06,1200
1,1,500,120,0.05,1.379992e-06,1200
1,1,500,120,0.05,1.72499e-06,1200
1,1,500,120,0.05,2.069988e-06,1200
1,1,500,120,0.05,2.414986e-06,1200
1,1,500,120,0.05,2.759984e-06,1200
1,1,500,120,0.05,3.104982e-06,1200
1,1,500,120,0.05,3.44998e-06,1200
1,1,500,120,0.1,0,1200
1,1,500,120,0.1,3.44998e-07,1200
1,1,500,120,0.1,6.89996e-07,1200
1,1,500,120,0.1,1.034994e-06,1200
1,1,500,120,0.1,1.379992e-06,1200
1,1,500,120,0.1,1.72499e-06,1200
1,1,500,120,0.1,2.069988e-06,1200
1,1,500,120,0.1,2.414986e-06,1200
1,1,500,120,0.1,2.759984e-06,1200
1,1,500,120,0.1,3.104982e-06,1200
1,1,500,120,0.1,3.44998e-06,1200
1,1,500,120,0.15,0,1200
1,1,500,120,0.15,3.44998e-07,1200
1,1,500,120,0.15,6.89996e-07,1200
1,1,500,120,0.15,1.034994e-06,1200
1,1,500,120,0.15,1.379992e-06,1200
1,1,500,120,0.15,1.72499e-06,1200
1,1,500,120,0.15,2.069988e-06,1200
1,1,500,120,0.15,2.414986e-06,1200
1,1,500,120,0.15,2.759984e-06,1200
1,1,500,120,0.15,3.104982e-06,1200
1,1,500,120,0.15,3.44998e-06,1200
1,1,500,120,0.2,0,1200
1,1,500,120,0.2,3.44998e-07,1200
1,1,500,120,0.2,6.89996e-07,1200
1,1,500,120,0.2,1.034994e-06,1200
1,1,500,120,0.2,1.379992e-06,1200
1,1,500,120,0.2,1.72499e-06,1200
1,1,500,120,0.2,2.069988e-06,1200
1,1,500,120,0.2,2.414986e-06,1200
1,1,500,120,0.2,2.759984e-06,1200
1,1,500,120,0.2,3.104982e-06,1200
1,1,500,120,0.2,3.44998e-06,1200
1,1,500,1200,0,0,1152
1,1,500,1200,0,3.44998e-07,750
1,1,500,1200,0,6.89996e-07,733
1,1,500,1200,0,1.034994e-06,722
1,1,500,1200,0,1.379992e-06,713
1,1,500,1200,0,1.72499e-06,706
1,1,500,1200,0,2.069988e-06,699
1,1,500,1200,0,2.414986e-06,693
1,1,500,1200,0,2.759984e-06,688
1,1,500,1200,0,3.104982e-06,683
